Carlisle,Bedford,88.1,1,29
Hancock,Bedford,42.1,0,49
Pittsburgh,Bedford,107,1,44
Pittsburgh,Mercer,65.2,1,1
Pittsburgh,Morgantown,75.8,1,18
Pittsburgh,Cambridge,109,1,47
Hancock,Morgantown,111,1,49
Charleston WV,Morgantown,156,2,20
Charleston WV,Lexington VA,183,2,47
Staunton,Lexington VA,35.9,0,39
Staunton,Middletown,81.6,1,16
Washington DC,Middletown,80.3,1,22
Hancock,Middletown,55.2,1,4
Washington DC,Richmond,109,1,50
Richmond,Chesapeake,98.5,1,39
Richmond,Staunton,108,1,39
Richmond,Petersburg,23.7,0,25
Benson,Petersburg,155,2,12
Benson,Wilmington,103,1,30
Benson,Greensboro,109,1,41
Petersburg,Greensboro,179,2,38
Candor,Greensboro,57.4,0,56
Statesville,Greensboro,72,1,9
Lexington VA,Wytheville,119,1,50
Mt. Airy West,Wytheville,46.5,0,44
Mt. Airy West,Mt. Airy,8.6,0,12
Mt. Airy West,Statesville,52.6,0,46
Benson,Florence,115,1,43
Columbia SC,Florence,82.7,1,16
Columbia SC,Charlotte,93.2,1,26
Greensboro,Charlotte,90.5,1,28
Statesville,Charlotte,41.2,0,42
Wytheville,Charleston WV,128,2,2
Cambridge,Charleston WV,136,2,1
Cambridge,Akron,83.4,1,21
North Jackson,Akron,38.4,0,39
North Jackson,Mercer,40,0,39
North Jackson,Richfield,50.9,0,51
Akron,Richfield,21.4,0,25
North Jackson,Pittsburgh,74.8,1,13
Erie,Cleveland,102,1,41
Richfield,Cleveland,20.2,0,24
Strongsville,Cleveland,21.7,0,29
Strongsville,Seville,27.4,0,31
Akron,Seville,23.3,0,26
Columbus,Seville,106,1,36
Columbus,Cambridge,79.7,1,16
Columbus,Cincinnati,107,1,38
Lexington KY,Cincinnati,82.7,1,19
Lexington KY,Charleston WV,175,2,38
Lexington KY,Knoxville,170,2,34
Dandridge,Knoxville,33.2,0,34
Dandridge,Kingsport,71,1,7
Wytheville,Kingsport,91.7,1,29
Asheville,Kingsport,82.6,1,22
Dandridge,Asheville,83.3,1,25
Spartanburg,Asheville,69.5,1,8
Spartanburg,Columbia SC,95.8,1,27
Spartanburg,Charlotte,75,1,15
Bowman,Columbia SC,55.7,0,57
Bowman,Florence,88.7,1,20
Bowman,Charleston SC,63.4,1,2
